Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Dic 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;4
Dic 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;6
Dic 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;5
Dic 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;9
Dic 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
Dic 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;9
Dic 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;10
Ene 2012;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;4
Ene 2012;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;10
Ene 2012;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;8
Ene 2012;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;6
Ene 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;7
Ene 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;6
Ene 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;11
Ene 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;17
Ene 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;10
Ene 2012;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;15
Feb 2012;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;3
Feb 2012;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;10
Feb 2012;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;6
Feb 2012;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;6
Feb 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;5
Feb 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;5
Feb 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;8
Feb 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;16
Feb 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;8
Feb 2012;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;17
Mar 2012;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;3
Mar 2012;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;6
Mar 2012;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;7
Mar 2012;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;4
Mar 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;4
Mar 2012;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;4
Mar 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;6
Mar 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;8
Mar 2012;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;4
Mar 2012;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;15
Abr 2012;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;2
