Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Sep 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;41
Sep 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;39
Oct 2011;Ozono;Suburbana;Noreste;Juan Carlos I;47
Oct 2011;Ozono;Suburbana;Noroeste;Casa de Campo;35
Oct 2011;Ozono;Suburbana;Noroeste;El Pardo;40
Oct 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;29
Oct 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;31
Oct 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;31
Oct 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;37
Oct 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;43
Oct 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;40
Oct 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;29
Oct 2011;Ozono;Urbana de Fondo;Suroeste;Villaverde;29
Oct 2011;Ozono;Urbana de Tráfico;Interior M-30;Barrio del Pilar;30
Oct 2011;Ozono;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;29
Oct 2011;Ozono;Urbana de Tráfico;Suroeste;Plaza Elíptica;25
Nov 2011;Ozono;Suburbana;Noreste;Juan Carlos I;29
Nov 2011;Ozono;Suburbana;Noroeste;Casa de Campo;26
Nov 2011;Ozono;Suburbana;Noroeste;El Pardo;20
Nov 2011;Ozono;Urbana de Fondo;Interior M-30;Plaza del Carmen;19
Nov 2011;Ozono;Urbana de Fondo;Interior M-30;Retiro;18
Nov 2011;Ozono;Urbana de Fondo;Noreste;Arturo Soria;18
Nov 2011;Ozono;Urbana de Fondo;Noreste;Barajas Pueblo;23
Nov 2011;Ozono;Urbana de Fondo;Noreste;Tres Olivos;24
Nov 2011;Ozono;Urbana de Fondo;Sureste;Ensanche de Vallecas;29
Nov 2011;Ozono;Urbana de Fondo;Suroeste;Farolillo;19
